,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield,prediction
806,60,DPPCl,N-methylmorpholine,n9,DMF,0.7091,0.3761539999999998
528,61,BOP-Cl,"2,6-Lutidine",n7,THF,0.039,0.2616620000000001
778,62,DPPCl,"2,6-Lutidine",n10,MeCN,0.1092,0.0704579999999999
793,63,DPPCl,N-methylmorpholine,n5,MeCN,0.1155,0.1703900000000001
629,64,TFFH,1-Methylimidazole,n10,DMF,0.02,0.0714489999999999
656,65,TFFH,"2,6-Lutidine",n9,DMF,0.2232999999999999,0.4203899999999999
138,66,TCFH,1-Methylimidazole,n7,THF,0.1816,0.3021630000000001
555,67,BOP-Cl,N-methylmorpholine,n6,THF,0.0135,0.0960179999999999
734,68,DPPCl,1-Methylimidazole,n5,DMF,0.1161,0.121413
159,69,TCFH,"2,6-Lutidine",n4,THF,0.0542,0.104383
505,70,BOP-Cl,1-Methylimidazole,n9,MeCN,0.4537,0.5089850000000002
214,71,TCFH,Diisopropylethylamine,n2,MeCN,0.183,0.3909039999999998
807,72,DPPCl,N-methylmorpholine,n10,THF,0.0092,0.1178700000000001
717,73,TFFH,Diisopropylethylamine,n10,THF,0.1657,0.0415429999999999
491,74,BOP-Cl,1-Methylimidazole,n4,DMF,0.0612,0.1205599999999999
192,75,TCFH,N-methylmorpholine,n5,THF,0.2664999999999999,0.108199
680,76,TFFH,N-methylmorpholine,n7,DMF,0.1022,0.25712
818,77,DPPCl,Diisopropylethylamine,n3,DMF,0.2576,0.3659459999999996
597,78,BOP-Cl,Diisopropylethylamine,n10,THF,0.0096,0.0603559999999999
642,79,TFFH,"2,6-Lutidine",n5,THF,0.0116,0.0452339999999999
523,80,BOP-Cl,"2,6-Lutidine",n5,MeCN,0.3169,0.02131
124,81,TCFH,1-Methylimidazole,n2,MeCN,0.6309,0.360139
804,82,DPPCl,N-methylmorpholine,n9,THF,0.5638000000000001,0.5493519999999998
780,83,DPPCl,N-methylmorpholine,n1,THF,0.4792,0.3803459999999996
722,84,DPPCl,1-Methylimidazole,n1,DMF,0.1409,0.3339249999999992
144,85,TCFH,1-Methylimidazole,n9,THF,0.5948,0.3627460000000004
129,86,TCFH,1-Methylimidazole,n4,THF,0.1311,0.095382
760,87,DPPCl,"2,6-Lutidine",n4,MeCN,0.0679,0.137047
204,88,TCFH,N-methylmorpholine,n9,THF,0.2798,0.2681729999999999
789,89,DPPCl,N-methylmorpholine,n4,THF,0.0484999999999999,0.186592
711,90,TFFH,Diisopropylethylamine,n8,THF,0.0768,0.113703
164,91,TCFH,"2,6-Lutidine",n5,DMF,0.0922,0.1319079999999999
221,92,TCFH,Diisopropylethylamine,n4,DMF,0.0414,0.103881
836,93,DPPCl,Diisopropylethylamine,n9,DMF,0.9871,0.5101539999999999
811,94,DPPCl,Diisopropylethylamine,n1,MeCN,0.3145,0.2962259999999997
835,95,DPPCl,Diisopropylethylamine,n9,MeCN,0.8558,0.7164639999999995
830,96,DPPCl,Diisopropylethylamine,n7,DMF,0.2757,0.3340990000000003
816,97,DPPCl,Diisopropylethylamine,n3,THF,0.5415,0.2854260000000001
822,98,DPPCl,Diisopropylethylamine,n5,THF,0.3828,0.1402690000000001
490,99,BOP-Cl,1-Methylimidazole,n4,MeCN,0.0692,0.0901609999999999
837,100,DPPCl,Diisopropylethylamine,n10,THF,0.0594,0.0965909999999999
139,101,TCFH,1-Methylimidazole,n7,MeCN,0.1810999999999999,0.3636929999999999
539,102,BOP-Cl,"2,6-Lutidine",n10,DMF,0.0421,0.0567389999999999
545,103,BOP-Cl,N-methylmorpholine,n2,DMF,0.0721,0.491896
552,104,BOP-Cl,N-methylmorpholine,n5,THF,0.4054999999999999,0.1765130000000001
603,105,TFFH,1-Methylimidazole,n2,THF,0.5803,0.4221579999999998
184,106,TCFH,N-methylmorpholine,n2,MeCN,0.5213,0.4186259999999999
619,107,TFFH,1-Methylimidazole,n7,MeCN,0.4497,0.2497070000000001
833,108,DPPCl,Diisopropylethylamine,n8,DMF,0.1292,0.1898940000000001
208,109,TCFH,N-methylmorpholine,n10,MeCN,0.0124,0.0686879999999999
618,110,TFFH,1-Methylimidazole,n7,THF,0.4061999999999999,0.294686
624,111,TFFH,1-Methylimidazole,n9,THF,0.5357999999999999,0.4841799999999999
617,112,TFFH,1-Methylimidazole,n6,DMF,0.0158,0.0491919999999999
791,113,DPPCl,N-methylmorpholine,n4,DMF,0.0464,0.0883359999999999
748,114,DPPCl,1-Methylimidazole,n10,MeCN,0.1348,0.067118
687,115,TFFH,N-methylmorpholine,n10,THF,0.1757999999999999,0.0622629999999999
128,116,TCFH,1-Methylimidazole,n3,DMF,0.5342,0.1997569999999999
170,117,TCFH,"2,6-Lutidine",n7,DMF,0.3954,0.2568910000000002
504,118,BOP-Cl,1-Methylimidazole,n9,THF,0.3324,0.5005479999999999
480,119,BOP-Cl,1-Methylimidazole,n1,THF,0.4202,0.2936389999999997
