entry,base_smiles,ligand_smiles,solvent_smiles,concentration,temp_c,electrophile_smiles,nucleophile_smiles,product_smiles,yield
49,O=C([O-])C.[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
50,O=C([O-])C.[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
51,O=C([O-])C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
52,O=C([O-])C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,3.41
53,O=C([O-])C.[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,64.62
54,O=C([O-])C(C)(C)C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,49.22
55,O=C([O-])C(C)(C)C.[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
56,O=C([O-])C(C)(C)C.[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,22.75
57,O=C([O-])C(C)(C)C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
58,O=C([O-])C(C)(C)C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,1.92
59,O=C([O-])C(C)(C)C.[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,48.25
60,O=C([O-])C.[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,26.64
61,O=C([O-])C.[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
62,O=C([O-])C.[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
63,O=C([O-])C.[Cs+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
64,O=C([O-])C.[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,4.22
65,O=C([O-])C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,86.43
66,O=C([O-])C(C)(C)C.[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,27.48
67,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
68,O=C([O-])C(C)(C)C.[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,15.16
69,O=C([O-])C(C)(C)C.[Cs+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
70,O=C([O-])C(C)(C)C.[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.91
71,O=C([O-])C(C)(C)C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,59.92
72,O=C([O-])C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,16.44
73,O=C([O-])C.[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
74,O=C([O-])C.[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,6.39
75,O=C([O-])C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
76,O=C([O-])C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,2.06
77,O=C([O-])C.[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,43.76
78,O=C([O-])C(C)(C)C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,29.17
79,O=C([O-])C(C)(C)C.[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
80,O=C([O-])C(C)(C)C.[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,14.92
81,O=C([O-])C(C)(C)C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
82,O=C([O-])C(C)(C)C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,1.41
83,O=C([O-])C(C)(C)C.[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,35.07
84,O=C([O-])C.[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,40.03
85,O=C([O-])C.[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
86,O=C([O-])C.[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,19.51
87,O=C([O-])C.[Cs+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.55
88,O=C([O-])C.[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,10.5
89,O=C([O-])C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,67.17
90,O=C([O-])C(C)(C)C.[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,21.54
91,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
92,O=C([O-])C(C)(C)C.[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,28.65
93,O=C([O-])C(C)(C)C.[Cs+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
94,O=C([O-])C(C)(C)C.[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.66
95,O=C([O-])C(C)(C)C.[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC1=CC=C(C)C=C1,0.1,105,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,53.63
96,O=C([O-])C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(N(C)C)=O,0.1,90,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,5.22
97,O=C([O-])C.[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,90,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
98,O=C([O-])C.[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(N(C)C)=O,0.1,90,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,47.03
99,O=C([O-])C.[K+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC(N(C)C)=O,0.1,90,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,1.71
100,O=C([O-])C.[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(N(C)C)=O,0.1,90,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,14.29
101,O=C([O-])C.[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(N(C)C)=O,0.1,90,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,38.03
102,O=C([O-])C(C)(C)C.[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(N(C)C)=O,0.1,90,Fc1ccccc1Br,Cn1cnc(C#N)c1,Cn1cnc(C#N)c1-c1ccccc1F,0.0
